+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                          ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                      ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0|mm_interconnect_0|hellonios_debug_mem_slave_translator                                                                                                                                                                                      ; 101   ; 5              ; 9            ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_0|debug_avalon_jtag_slave_translator                                                                                                                                                                                        ; 101   ; 5              ; 20           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_0|hellonios_instruction_master_translator                                                                                                                                                                                   ; 102   ; 51             ; 0            ; 51             ; 94     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_0|hellonios_data_master_translator                                                                                                                                                                                          ; 102   ; 12             ; 0            ; 12             ; 94     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_0                                                                                                                                                                                                                           ; 336   ; 0              ; 0            ; 0              ; 362    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|timer_1                                                                                                                                                                                                                                     ; 23    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|timer_0                                                                                                                                                                                                                                     ; 23    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|test_led_1s                                                                                                                                                                                                                                 ; 23    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|esc_spi_cs                                                                                                                                                                                                                                  ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|esc_spi                                                                                                                                                                                                                                     ; 25    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|esc_eepdone                                                                                                                                                                                                                                 ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sram|the_altsyncram|auto_generated|mux2                                                                                                                                                                                                     ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sram|the_altsyncram|auto_generated|decode3                                                                                                                                                                                                  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sram|the_altsyncram|auto_generated                                                                                                                                                                                                          ; 53    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sram                                                                                                                                                                                                                                        ; 57    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_debug_slave_wrapper|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_debug_slave_wrapper|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_debug_slave_wrapper                                                                                       ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_ocimem|My_First_NIOS_II_Platform_Designer_HelloNios_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_ocimem|My_First_NIOS_II_Platform_Designer_HelloNios_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_ocimem                                                                                              ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_avalon_reg                                                                                          ; 48    ; 0              ; 27           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_im                                                                                              ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_pib                                                                                             ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_fifo|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_fifo|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_fifo|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_fifo                                                                                            ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_dtrace|My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_dtrace                                                                                          ; 103   ; 0              ; 92           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_itrace                                                                                          ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_dbrk                                                                                            ; 88    ; 0              ; 0            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_xbrk                                                                                            ; 54    ; 5              ; 51           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_break                                                                                           ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci_debug                                                                                           ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_nios2_oci                                                                                                                                                                ; 156   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|My_First_NIOS_II_Platform_Designer_HelloNios_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                                                                ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|My_First_NIOS_II_Platform_Designer_HelloNios_cpu_register_bank_b                                                                                                                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|My_First_NIOS_II_Platform_Designer_HelloNios_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                                                                ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|My_First_NIOS_II_Platform_Designer_HelloNios_cpu_register_bank_a                                                                                                                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu|the_My_First_NIOS_II_Platform_Designer_HelloNios_cpu_test_bench                                                                                                                                                               ; 288   ; 3              ; 254          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios|cpu                                                                                                                                                                                                                               ; 149   ; 1              ; 27           ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hellonios                                                                                                                                                                                                                                   ; 149   ; 0              ; 0            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|gpio                                                                                                                                                                                                                                        ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                                                                              ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                                                        ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                                                                             ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                                                              ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r|rfifo|auto_generated|dpfifo                                                                                                                                                     ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r|rfifo|auto_generated                                                                                                                                                            ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_r                                                                                                                                                                                 ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                                                                              ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                                                        ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                                                                             ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                                                              ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w|wfifo|auto_generated|dpfifo                                                                                                                                                     ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w|wfifo|auto_generated                                                                                                                                                            ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug|the_My_First_NIOS_II_Platform_Designer_DEBUG_scfifo_w                                                                                                                                                                                 ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|debug                                                                                                                                                                                                                                       ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0                                                                                                                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
